ID,Catalog#,Artist,Artist2,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Media Condition,Collection Sleeve Condition,Collection Notes,Collection Cost,Collection Autographed, Min , Median , Max ,Genre,Subgenre,Label1,Label2,Label3,Label4
284,ULR12040-1,Deeds Of Flesh,Deeds Of Flesh,Portals To Canaan,Unique Leader Records,"LP, Album, Cle",,2013,4783264.0,Vinyl,6/12/15 18:33,,,Sell,10.0,,12.93,21.71,37.08,Metal,Black Metal,Unique Leader Records,,,
382,VR262,Between The Buried And Me,Between The Buried And Me,Alaska,Victory Records,"2xLP, Album",,2013,4878982.0,Vinyl,3/25/14 19:35,,,,18.0,,13.0,21.48,31.99,Metal,Progressive Metal,Victory Records,,,
392,"BSK024LP, RSD13-001",Chimp Spanner,Chimp Spanner,At The Dream's Edge,"Basick Records, Record Store Day","2xLP, Album, Ltd",,2013,4557732.0,Vinyl,1/18/14 17:55,,,,15.0,,13.0,24.33,32.1,Metal,Djent,Basick Records,Record Store Day,,
403,8974-8,Tesseract,Tesseract,Altered State,Century Media,"CD, Album + CD, Album, Ins + Dig",5.0,2013,4669627.0,CD,12/27/13 18:46,,,,17.0,,13.0,32.0,39.99,Metal,Djent,Century Media,,,
361,RR7223,Ulcerate,Ulcerate,Vermis,Relapse Records,"2x12"", Album, Ltd, RP, Red",,2013,5048064.0,Vinyl,9/5/14 10:12,,,,30.0,Yes,13.49,23.9,25.54,Metal,Death Metal,Relapse Records,,,
343,"NB 2995-1, 2995-1",Soilwork,Soilwork,The Living Infinite,"Nuclear Blast, Nuclear Blast","2xLP, Album, Ltd, Sea",,2013,4440602.0,Vinyl,9/5/14 10:25,,,,15.0,,14.98,16.78,19.95,Metal,Melodic Death Metal,Nuclear Blast,Nuclear Blast,,
320,10133-1,Scale The Summit,Scale The Summit,The Migration,Prosthetic Records,"LP, Album, Ltd, Whi",,2013,5230242.0,Vinyl,12/14/14 10:46,,,Sell,12.0,,15.0,21.27,26.54,Metal,Progressive Metal,Prosthetic Records,,,
393,"BSK039LP , RSD13-003",Skyharbor,Skyharbor,Blinding White Noise: Illusion & Chaos,"Basick Records, Record Store Day","2xLP, Album",,2013,4683353.0,Vinyl,1/18/14 17:54,,,,15.0,Yes,15.56,43.88,52.63,Metal,Djent,Basick Records,Record Store Day,,
298,BOBV359LP,Enslaved,Enslaved,Vertebrae,Back On Black,"2xLP, RE, 180",,2013,4644561.0,Vinyl,3/19/15 17:39,,,,30.0,Yes,15.58,20.7,26.87,Metal,Black Metal,Back On Black,,,
351,TE010-1,Agalloch,Agalloch,Pale Folklore,The End Records,"2xLP, Album, RE, Whi",,2013,4532394.0,Vinyl,9/5/14 10:17,,,,30.0,,16.0,35.0,70.65,Metal,Black Metal,The End Records,,,
